Search Gene	Found FBGN	Found Gene	imaginal disc, larvae L3 wandering	central nervous system, larvae L3	central nervous system, pupae P8	head, virgin 1-day female	head, virgin 4-day female	head, virgin 20-day female	head, mated 1-day female	head, mated 4-day female	head, mated 20-day female	head, mated 1-day male	head, mated 4-day male	head, mated 20-day male	salivary gland, larvae L3 wandering	salivary gland, white prepupae	digestive system, larvae L3 wandering	digestive system, 1-day adult	digestive system, 4-day adult	digestive system, 20-day adult	fat body, larvae L3 wandering	fat body, white prepupae	fat body, pupae P8	carcass, larvae L3 wandering	carcass, 1-day adult	carcass, 4-day adult	carcass, 20-day adult	ovary, virgin 4-day female	ovary, mated 4-day female	testis, mated 4-day male	accessory gland, mated 4-day male
FBgn0000008	FBgn0000008	a	9	6	18	11	7	7	10	10	7	14	15	13	14	12	4	1	2	2	3	67	30	10	4	5	5	11	20	1	5
FBgn0000014	FBgn0000014	abd-A	6	19	5	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	30	36	12	42	6	5	5	0	0	6	6
FBgn0000015	FBgn0000015	Abd-B	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	4	1	2	1	0	0	0	7
FBgn0000017	FBgn0000017	Abl	11	31	24	8	9	5	8	7	6	13	13	11	1	7	2	1	3	2	1	4	9	10	3	3	3	19	18	3	4
FBgn0000018	FBgn0000018	abo	11	2	1	2	2	3	1	1	1	2	3	3	0	3	2	2	3	3	1	2	2	3	1	2	2	8	6	5	4
FBgn0000022	FBgn0000022	ac	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0
FBgn0000024	FBgn0000024	Ace	4	68	180	68	55	24	58	43	26	90	87	68	2	5	4	5	4	4	6	9	23	10	9	8	6	1	0	0	3
FBgn0000028	FBgn0000028	acj6	12	27	31	15	17	6	22	12	6	19	19	12	0	1	0	0	0	0	0	2	12	3	0	1	0	0	0	11	5
FBgn0000032	FBgn0000032	Acph-1	27	11	7	3	4	7	2	4	5	4	6	8	24	60	34	9	7	9	6	15	7	17	5	7	8	60	38	30	25
FBgn0000036	FBgn0000036	nAChRalpha1	1	19	58	8	8	4	9	6	4	13	13	9	0	0	0	0	0	0	0	1	5	2	1	1	1	0	0	0	1
FBgn0000037	FBgn0000037	mAChR-A	2	19	81	27	35	16	38	25	15	49	49	39	0	0	0	0	0	0	0	0	8	2	2	3	3	0	0	1	1
FBgn0000038	FBgn0000038	nAChRbeta1	4	20	233	106	108	48	108	97	43	135	173	108	0	1	0	0	0	0	0	1	29	4	9	11	6	0	0	1	3
FBgn0000039	FBgn0000039	nAChRalpha2	2	20	50	8	6	6	5	7	7	16	14	13	0	0	0	0	0	0	0	1	6	3	1	1	1	0	0	0	1
FBgn0000042	FBgn0000042	Act5C	2141	5385	2816	775	808	265	961	566	347	899	1057	784	1885	2069	2469	2131	3103	2481	1295	2223	2678	3162	397	503	413	1019	2268	691	709
FBgn0000043	FBgn0000043	Act42A	569	650	289	31	14	21	18	17	17	25	21	27	75	167	526	114	67	195	17	193	213	409	27	21	24	126	118	267	95
FBgn0000044	FBgn0000044	Act57B	69	138	145	2524	529	437	1415	527	391	1377	477	729	12	8	98	598	404	371	2	4	109	2261	1474	801	546	36	13	48	232
FBgn0000045	FBgn0000045	Act79B	0	1	164	317	68	29	234	23	22	279	64	57	0	3	1	20	6	3	1	0	82	11	3876	933	179	0	0	4	9
FBgn0000046	FBgn0000046	Act87E	135	81	713	864	321	61	918	182	72	487	215	148	14	13	70	234	259	67	5	39	638	986	3073	1119	420	4	4	730	396
FBgn0000047	FBgn0000047	Act88F	0	1	47	23	3	3	3	1	2	7	2	4	0	2	0	13	6	0	0	0	33	6	2915	389	65	0	0	1	1
FBgn0000052	FBgn0000052	ade2	6	6	3	27	15	42	16	43	34	29	31	43	1	6	5	6	5	7	71	99	9	9	33	35	53	26	21	12	6
FBgn0000053	FBgn0000053	ade3	6	4	1	17	10	23	16	12	19	15	11	21	2	10	8	3	2	3	141	212	1	10	15	12	13	8	7	3	4
FBgn0000055	FBgn0000055	Adh	14	5	21	2429	2081	4978	1584	2082	3536	2548	3200	5206	21	24	54	794	515	712	1385	141	68	61	2224	2529	3021	274	195	157	190
FBgn0000056	FBgn0000056	Adhr	15	5	22	2585	2213	5299	1683	2215	3762	2711	3403	5541	23	26	57	846	548	758	1474	150	72	65	2366	2691	3214	292	208	167	202
FBgn0000057	FBgn0000057	adp	28	9	10	10	7	10	5	6	10	9	12	14	14	20	9	7	5	7	10	14	11	10	9	10	9	26	21	71	20
FBgn0000061	FBgn0000061	al	27	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	16	0	0	0	0	0	0	0
FBgn0000063	FBgn0000063	Mps1	22	16	2	1	2	1	1	1	2	1	2	3	0	1	2	1	3	2	0	4	3	7	1	3	2	59	59	10	5
FBgn0000064	FBgn0000064	Ald	143	72	89	422	277	328	317	203	300	454	352	357	43	20	41	181	146	194	144	66	117	146	1128	756	472	75	57	180	142
FBgn0000075	FBgn0000075	amd	3	0	2	2	1	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	11	1	0	0	0	1	1	2	0
FBgn0000077	FBgn0000077	amx	1	4	4	3	4	4	4	4	3	5	5	8	5	9	7	4	4	4	2	4	3	3	3	5	3	12	15	1	6
FBgn0000078	FBgn0000078	Amy-d	141	0	0	6	9	27	6	9	29	17	19	51	7	0	368	2857	1846	4991	0	0	4	2	79	68	171	0	0	40	34
FBgn0000079	FBgn0000079	Amy-p	324	1	1	5	7	50	9	5	79	8	14	62	7	1	448	7825	4570	15045	2	0	19	6	256	229	587	0	0	137	112
FBgn0000083	FBgn0000083	AnxB9	63	42	37	36	37	67	29	32	47	47	51	79	26	32	96	72	49	73	48	42	97	72	80	54	74	30	19	38	49
FBgn0000084	FBgn0000084	AnxB10	13	24	14	41	40	51	42	38	44	54	43	52	15	26	22	14	12	16	10	9	19	22	28	29	34	21	19	40	53
FBgn0000092	FBgn0000092	CG2650	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0
FBgn0000097	FBgn0000097	aop	29	21	24	12	10	10	8	8	7	14	11	12	7	102	12	9	13	11	3	37	29	29	8	8	7	31	27	2	4
FBgn0000100	FBgn0000100	RpLP0	1014	571	235	298	454	831	258	430	627	283	320	561	338	594	455	559	464	572	350	234	415	709	298	372	553	405	349	373	753
FBgn0000108	FBgn0000108	Appl	19	285	410	141	142	79	149	130	78	220	251	180	0	5	1	1	1	1	0	11	79	40	15	15	10	1	1	0	8
FBgn0000109	FBgn0000109	Aprt	7	6	5	16	8	9	16	8	8	12	8	10	11	3	9	17	13	8	11	21	8	8	10	10	7	17	17	8	7
FBgn0000114	FBgn0000114	aret	43	7	11	6	7	5	6	5	4	7	7	7	0	1	2	3	6	4	6	17	20	2	12	13	10	128	143	105	33
FBgn0000115	FBgn0000115	Arl1	70	76	40	35	24	29	21	26	25	20	34	44	43	44	52	60	46	44	26	41	72	56	24	28	28	87	58	98	143
FBgn0000116	FBgn0000116	Argk	170	207	263	286	225	173	260	175	142	390	318	306	9	10	73	369	286	258	4	29	167	225	465	296	172	87	85	146	91
FBgn0000117	FBgn0000117	arm	139	228	237	69	66	72	56	57	55	95	88	118	13	81	73	45	43	62	19	64	183	162	30	33	36	156	128	40	54
FBgn0000119	FBgn0000119	arr	32	14	10	5	4	6	3	4	4	7	6	8	1	2	5	4	4	5	3	10	5	19	3	3	3	6	6	9	4
FBgn0000120	FBgn0000120	Arr1	1	0	1	630	916	1266	519	776	883	993	1445	1848	0	1	0	0	0	0	0	0	6	10	1	2	1	0	1	9	2
FBgn0000121	FBgn0000121	Arr2	0	0	5	1523	2168	2698	1286	1977	2042	2615	3025	3965	1	3	0	0	1	1	0	0	6	19	2	6	2	0	2	5	2
FBgn0000137	FBgn0000137	ase	2	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0
FBgn0000139	FBgn0000139	ash2	18	13	5	3	4	8	4	4	6	4	5	8	0	1	5	4	4	6	2	4	8	8	2	3	5	17	14	7	7
FBgn0000140	FBgn0000140	asp	21	11	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	3	2	8	1	3	2	72	55	10	3
FBgn0000150	FBgn0000150	awd	1097	751	175	555	362	540	366	247	480	402	274	469	197	162	401	461	377	426	201	183	407	684	335	340	434	1141	853	699	661
FBgn0000152	FBgn0000152	Axs	6	5	1	3	3	3	5	3	2	4	3	5	2	2	4	2	2	2	2	2	2	12	3	2	2	8	6	1	3
FBgn0000153	FBgn0000153	b	0	4	0	5	3	5	4	5	4	5	7	11	0	2	1	0	0	0	1	3	2	64	26	20	10	0	0	1	0
FBgn0000157	FBgn0000157	Dll	36	10	8	3	4	4	3	3	4	7	6	6	0	2	0	0	0	0	0	2	4	14	3	3	5	0	0	0	0
FBgn0000158	FBgn0000158	bam	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	53	38	1	1
FBgn0000163	FBgn0000163	baz	3	2	1	2	2	3	2	2	2	4	4	4	0	0	2	3	3	3	0	1	1	3	3	3	3	5	5	2	1
FBgn0000166	FBgn0000166	bcd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	3	2	61	46	0	0
FBgn0000173	FBgn0000173	ben	83	136	74	59	54	54	46	54	39	63	84	80	86	202	250	64	52	58	38	85	49	111	35	39	36	115	93	17	32
FBgn0000179	FBgn0000179	bi	30	60	26	7	9	3	9	6	6	10	11	9	0	1	1	0	0	0	2	3	12	16	1	1	1	0	0	1	1
FBgn0000180	FBgn0000180	bib	26	17	17	3	2	2	2	2	2	4	4	5	0	2	12	0	1	4	0	3	4	15	0	1	1	0	0	1	1
FBgn0000181	FBgn0000181	bic	698	546	206	201	258	244	172	221	205	240	251	262	73	107	280	220	226	215	101	139	366	480	164	237	262	706	595	411	613
FBgn0000182	FBgn0000182	BicC	21	0	1	0	1	0	3	0	0	0	0	1	0	0	0	5	16	11	0	4	3	0	9	23	15	618	393	67	16
FBgn0000183	FBgn0000183	BicD	18	18	41	18	16	11	15	15	11	26	26	21	16	110	17	16	17	13	3	7	19	24	10	13	10	71	60	9	18
FBgn0000206	FBgn0000206	boss	0	0	4	54	37	29	41	28	22	78	49	36	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	2	0
FBgn0000212	FBgn0000212	brm	40	82	34	13	12	11	13	14	10	17	22	25	3	6	9	8	11	12	6	14	19	48	9	13	9	58	66	3	12
FBgn0000221	FBgn0000221	brn	6	3	2	2	3	2	0	1	2	5	3	5	1	2	2	3	3	3	1	1	2	4	2	1	2	10	9	14	3
FBgn0000227	FBgn0000227	Bsg25A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000228	FBgn0000228	Bsg25D	9	15	13	9	11	10	12	10	9	17	17	19	2	6	10	6	8	8	5	9	7	15	9	11	10	45	44	2	19
FBgn0000229	FBgn0000229	bsk	18	31	51	29	24	18	17	20	12	36	38	39	4	3	17	12	12	14	3	8	8	16	6	6	6	3	3	4	6
FBgn0000233	FBgn0000233	btd	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
FBgn0000239	FBgn0000239	bur	37	34	20	23	24	34	18	28	24	23	30	42	9	23	30	16	19	18	22	23	19	38	20	27	27	124	90	29	21
FBgn0000244	FBgn0000244	by	3	3	3	10	14	13	11	10	11	16	13	18	4	1	5	13	12	15	1	0	3	10	14	13	13	3	2	2	13
FBgn0000246	FBgn0000246	c(3)G	7	3	3	2	2	1	3	2	1	2	3	4	1	1	1	2	3	1	1	2	5	2	2	3	3	49	43	1	2
FBgn0000247	FBgn0000247	ca	19	17	15	8	8	12	8	8	10	14	14	14	1	3	5	6	7	8	2	5	6	10	9	9	9	26	20	11	9
FBgn0000250	FBgn0000250	cact	29	30	27	38	38	38	33	34	35	47	49	64	16	139	29	25	32	33	17	28	65	60	47	47	59	124	128	12	18
FBgn0000251	FBgn0000251	cad	55	0	1	0	1	0	2	0	0	0	1	2	0	1	48	51	68	60	1	7	2	2	7	15	13	207	252	33	21
FBgn0000253	FBgn0000253	Cam	167	370	1142	1087	897	241	1136	668	293	1215	1263	698	75	64	168	211	302	169	116	150	256	181	147	171	157	202	285	38	121
FBgn0000256	FBgn0000256	capu	34	5	8	7	7	7	7	6	5	9	10	10	0	1	17	12	10	11	4	8	17	7	3	3	4	8	6	73	21
FBgn0000257	FBgn0000257	car	5	7	4	3	3	4	2	3	3	5	5	5	1	2	4	4	3	4	2	3	3	3	2	2	3	13	10	8	4
FBgn0000259	FBgn0000259	CkIIbeta	103	220	228	70	64	28	70	51	33	71	80	54	46	114	47	25	43	23	33	68	114	87	35	43	34	84	127	23	64
FBgn0000261	FBgn0000261	Cat	174	43	62	144	88	153	80	53	106	151	98	147	12	157	289	311	182	282	472	397	545	191	307	243	461	23	18	111	48
FBgn0000273	FBgn0000273	Pka-C1	23	111	169	85	69	35	76	54	37	109	100	75	14	67	21	24	31	21	9	20	37	50	41	38	29	42	47	2	25
FBgn0000274	FBgn0000274	Pka-C2	28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	6	9	0	0	0	0	1	1	76	13
FBgn0000283	FBgn0000283	Cp190	77	151	55	32	36	23	35	33	23	41	50	52	9	25	32	17	32	23	15	36	39	73	21	35	27	207	266	5	23
FBgn0000286	FBgn0000286	Cf2	18	20	17	14	18	13	16	14	14	23	24	24	4	15	12	7	12	10	27	27	11	17	18	19	21	34	40	8	14
FBgn0000287	FBgn0000287	salr	17	11	6	2	2	2	2	2	2	3	4	4	0	1	0	0	0	0	0	3	5	7	1	1	1	0	0	33	6
FBgn0000289	FBgn0000289	cg	53	71	49	33	40	22	34	30	20	47	49	44	7	24	12	7	11	10	8	16	38	34	13	17	15	59	62	9	14
FBgn0000299	FBgn0000299	Cg25C	11	14	59	182	87	42	170	87	53	148	95	53	2	4	3	30	13	6	302	39	112	24	183	108	75	22	21	5	8
FBgn0000303	FBgn0000303	ChAT	1	8	10	21	12	13	10	14	9	31	26	30	0	0	0	0	0	0	0	0	3	1	2	1	1	0	0	0	0
FBgn0000307	FBgn0000307	chif	19	35	25	12	14	8	14	12	8	18	20	18	4	13	14	4	8	5	5	12	10	24	8	10	7	68	73	1	6
FBgn0000308	FBgn0000308	chic	387	872	325	117	127	71	124	104	73	104	149	115	251	331	606	175	221	161	272	549	340	596	118	115	116	119	194	96	116
FBgn0000316	FBgn0000316	cin	11	12	10	9	6	8	6	6	6	7	8	10	5	6	10	5	6	5	3	8	6	13	4	6	5	40	28	4	6
FBgn0000317	FBgn0000317	ck	9	3	4	5	3	5	3	3	3	5	4	5	1	4	4	5	7	5	1	4	5	10	3	4	4	17	12	0	5
FBgn0000318	FBgn0000318	cl	130	78	39	41	41	34	42	39	32	51	56	77	46	35	121	217	150	131	39	61	79	114	44	43	49	84	101	290	71
FBgn0000319	FBgn0000319	Chc	84	86	86	59	44	64	39	42	47	63	60	81	32	156	98	50	50	61	35	88	68	114	43	41	43	91	74	19	41
FBgn0000320	FBgn0000320	eya	20	14	3	10	10	8	11	8	7	16	14	11	0	0	1	0	0	0	1	4	5	10	1	1	1	3	3	20	4
FBgn0000326	FBgn0000326	clt	5	4	5	5	4	5	6	5	4	6	7	9	1	1	7	7	5	5	6	6	5	7	5	5	5	9	8	1	1
FBgn0000330	FBgn0000330	cm	8	6	5	5	4	7	2	4	5	5	5	7	4	7	6	3	3	4	2	4	5	7	2	3	4	12	8	4	4
FBgn0000339	FBgn0000339	cni	31	12	11	12	9	15	4	8	14	10	14	24	46	65	25	39	15	24	7	19	3	25	10	13	12	35	16	29	10
FBgn0000346	FBgn0000346	comt	12	8	18	37	30	28	27	25	21	64	52	47	0	0	0	0	0	0	0	1	2	3	5	4	3	3	2	10	3
FBgn0000351	FBgn0000351	cort	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	52	28	1	2
FBgn0000352	FBgn0000352	cos	18	20	25	7	8	7	6	6	6	11	12	11	0	3	3	1	2	2	2	5	10	15	2	3	3	39	29	4	2
FBgn0000355	FBgn0000355	Cp15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	86	14	0	0	0	2	36	151	39	162	370	0	2
FBgn0000356	FBgn0000356	Cp16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	7	22	0	0	0	0	15	50	24	63	114	0	0
FBgn0000357	FBgn0000357	Cp18	1	1	1	0	2	0	0	1	1	1	1	1	0	0	0	14	8	15	0	0	0	1	19	71	17	114	192	0	1
FBgn0000358	FBgn0000358	Cp19	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	77	29	102	0	0	0	2	50	170	130	251	594	0	1
FBgn0000359	FBgn0000359	Cp36	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	90	78	62	0	0	4	2	41	138	145	259	826	2	1
FBgn0000360	FBgn0000360	Cp38	0	0	1	1	6	0	0	0	0	1	0	0	0	0	0	159	147	112	0	0	0	4	90	416	243	382	1550	3	2
FBgn0000370	FBgn0000370	crc	136	91	82	191	209	202	154	164	172	210	256	312	57	179	152	105	82	79	82	154	138	184	139	134	144	79	66	59	83
FBgn0000376	FBgn0000376	crm	11	13	6	4	8	7	4	5	6	8	8	11	0	2	3	3	5	5	1	3	3	7	3	6	6	75	74	1	3
FBgn0000377	FBgn0000377	crn	16	23	9	8	8	9	5	8	7	7	10	13	2	5	10	7	7	7	3	6	2	17	5	7	6	21	20	8	9
FBgn0000382	FBgn0000382	csw	19	52	101	79	102	49	93	74	52	107	118	100	6	29	12	8	15	13	5	13	26	25	30	31	32	48	62	6	37
FBgn0000384	FBgn0000384	cta	9	9	12	3	4	3	2	3	4	3	5	5	4	6	7	3	4	3	2	4	4	7	3	4	3	36	24	2	3
FBgn0000392	FBgn0000392	cup	87	3	5	2	3	2	4	2	1	2	2	4	2	3	5	7	12	8	2	22	18	4	7	15	11	219	189	136	47
FBgn0000394	FBgn0000394	cv	14	8	7	26	18	25	17	18	20	28	25	33	1	4	6	8	6	5	4	7	25	13	18	17	19	11	7	8	5
FBgn0000395	FBgn0000395	cv-2	9	6	12	4	4	5	5	6	4	7	7	8	0	0	7	3	6	9	3	2	7	9	4	5	5	0	0	2	1
FBgn0000404	FBgn0000404	CycA	62	64	5	1	3	0	4	1	1	1	1	3	1	7	8	6	25	12	2	15	11	39	11	31	16	531	614	35	11
FBgn0000405	FBgn0000405	CycB	95	43	3	2	4	1	7	0	3	1	0	4	0	3	4	12	43	26	2	17	7	31	21	55	36	1489	1063	84	16
FBgn0000406	FBgn0000406	Cyt-b5-r	1	0	0	219	311	768	169	276	467	199	296	626	2	1	3	15	14	17	126	19	1	5	155	194	330	2	1	12	7
FBgn0000412	FBgn0000412	D1	470	511	176	47	50	32	41	45	41	54	77	78	22	84	67	35	51	41	24	92	141	235	27	41	35	246	219	133	98
FBgn0000414	FBgn0000414	Dab	11	36	42	20	24	20	18	17	18	33	34	37	0	3	2	4	6	5	1	6	13	15	6	6	7	24	26	1	4
FBgn0000416	FBgn0000416	Sap-r	225	171	110	192	255	476	185	326	338	240	357	554	145	2002	2036	414	345	481	154	263	234	459	257	292	361	243	214	126	292
FBgn0000422	FBgn0000422	Ddc	2	10	5	36	43	41	28	37	30	52	65	73	2	1	1	3	2	3	0	1	7	443	11	9	10	0	0	8	2
FBgn0000439	FBgn0000439	Dfd	1	1	1	8	10	7	10	7	7	12	12	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FBgn0000442	FBgn0000442	Pkg21D	1	1	0	3	3	1	2	2	1	3	3	1	0	0	5	15	14	13	0	0	0	1	2	2	2	0	0	1	1
FBgn0000447	FBgn0000447	Dhod	54	13	6	8	7	10	4	7	7	6	8	12	4	3	9	12	12	9	6	14	21	20	5	8	8	30	22	150	32
FBgn0000448	FBgn0000448	Hr46	13	6	165	13	13	6	13	10	6	19	20	12	4	127	5	0	1	0	1	35	43	11	1	2	1	1	0	0	2
FBgn0000449	FBgn0000449	dib	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000451	FBgn0000451	ect	4	3	84	5	2	1	7	2	1	9	4	1	0	1	6	5	9	9	5	3	181	8	4	3	2	0	0	1	2
FBgn0000454	FBgn0000454	Dip-B	49	22	16	16	17	22	13	12	16	18	19	20	5	22	56	86	56	62	25	101	189	35	12	13	18	104	86	59	28
FBgn0000455	FBgn0000455	Dip-C	21	11	5	8	7	11	6	6	8	7	12	17	11	42	83	65	32	46	7	16	13	13	7	6	7	11	9	23	12
FBgn0000459	FBgn0000459	disco	8	9	4	4	8	7	6	11	8	7	10	11	0	0	1	1	1	1	0	1	4	8	2	2	3	0	0	2	2
FBgn0000463	FBgn0000463	Dl	50	23	6	7	4	2	5	2	2	5	3	3	0	3	2	2	4	3	2	6	3	23	3	6	3	72	63	1	1
FBgn0000464	FBgn0000464	Lar	10	25	77	21	17	15	16	15	13	31	30	27	0	2	1	2	2	2	1	3	13	9	3	3	2	10	7	1	2
FBgn0000473	FBgn0000473	Cyp6a2	0	0	0	4	6	8	5	6	6	7	10	20	0	0	0	4	3	4	0	0	0	0	3	3	3	0	0	3	1
FBgn0000477	FBgn0000477	DNaseII	4	27	8	42	58	117	38	74	95	44	55	126	4	4	149	20	12	14	162	34	108	9	55	52	85	0	0	4	31
FBgn0000482	FBgn0000482	dor	10	17	7	4	5	4	4	4	4	7	6	8	3	6	8	5	5	8	4	6	4	9	3	4	4	12	11	6	14
FBgn0000489	FBgn0000489	Pka-C3	32	4	9	31	35	20	38	36	17	48	51	39	1	4	34	19	24	21	0	10	14	46	42	58	42	6	7	52	23
FBgn0000490	FBgn0000490	dpp	13	3	2	9	7	4	7	5	4	10	7	7	0	1	1	3	4	2	0	6	8	9	4	4	4	1	0	2	7
FBgn0000492	FBgn0000492	Dr	28	12	5	4	6	14	4	6	11	6	6	10	5	26	1	2	2	2	3	8	6	9	6	6	14	0	0	1	11
FBgn0000499	FBgn0000499	dsh	33	35	21	6	8	7	6	8	7	11	13	14	2	5	8	6	6	6	3	9	15	14	4	7	7	32	28	87	14
FBgn0000500	FBgn0000500	Dsk	0	4	3	12	20	29	10	27	22	15	53	90	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FBgn0000504	FBgn0000504	dsx	5	1	2	5	5	6	5	7	5	10	14	10	0	0	1	4	6	5	3	2	2	2	11	11	12	0	0	1	3
FBgn0000520	FBgn0000520	dwg	6	9	5	2	5	4	4	4	3	5	7	8	1	1	3	4	5	5	2	2	6	7	3	4	3	20	21	2	2
FBgn0000524	FBgn0000524	dx	24	15	6	4	5	5	3	3	4	4	4	5	4	15	6	4	5	5	4	10	6	19	4	5	5	71	66	3	6
FBgn0000527	FBgn0000527	e	0	12	3	19	6	7	8	6	7	17	10	18	1	7	1	0	0	0	0	8	5	273	6	3	2	0	0	2	0
FBgn0000529	FBgn0000529	bsh	1	5	3	2	1	1	1	1	1	3	3	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FBgn0000533	FBgn0000533	ea	5	1	2	4	5	11	4	5	10	8	9	21	0	0	1	2	2	3	1	0	3	4	2	4	4	18	16	1	0
FBgn0000535	FBgn0000535	eag	0	4	22	13	14	7	12	10	6	19	18	11	0	0	0	0	0	0	0	0	3	1	1	1	1	0	0	0	0
FBgn0000536	FBgn0000536	eas	8	7	9	22	23	42	17	27	34	21	28	38	2	2	15	17	15	16	5	8	9	5	21	25	26	15	9	7	12
FBgn0000541	FBgn0000541	E(bx)	38	48	28	15	14	10	14	11	10	20	19	18	4	14	7	5	10	6	4	13	10	23	9	11	8	115	93	5	9
FBgn0000542	FBgn0000542	ec	33	7	4	4	1	1	2	1	1	4	2	1	3	36	1	0	1	0	0	4	6	25	2	1	1	1	1	1	1
FBgn0000543	FBgn0000543	ecd	25	23	12	8	8	10	7	8	8	9	11	15	2	11	11	6	6	6	4	13	19	19	9	8	8	26	20	27	9
FBgn0000546	FBgn0000546	EcR	14	25	17	7	7	5	6	6	5	9	10	8	10	1	30	2	3	3	17	3	5	33	3	5	4	14	13	0	3
FBgn0000547	FBgn0000547	ed	67	39	31	15	10	8	10	9	6	17	16	12	4	38	5	3	5	4	1	14	23	48	9	9	6	54	39	1	8
FBgn0000551	FBgn0000551	Edg78E	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0
FBgn0000552	FBgn0000552	Edg84A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
FBgn0000557	FBgn0000557	Ef1alpha100E	46	676	1045	320	378	138	322	336	138	363	528	340	0	13	2	3	6	3	1	27	265	86	159	125	90	1	1	4	20
FBgn0000559	FBgn0000559	EF2	770	625	295	564	626	1112	444	696	777	557	603	806	363	1057	705	553	563	620	538	461	571	973	559	660	702	1185	937	348	760
FBgn0000560	FBgn0000560	eg	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
FBgn0000562	FBgn0000562	egl	19	9	13	20	17	19	17	15	16	26	21	25	9	30	26	19	21	22	7	8	11	24	18	19	20	57	47	2	13
FBgn0000565	FBgn0000565	Eip71CD	19	27	13	59	50	53	35	61	52	69	80	98	26	72	71	147	89	65	175	353	28	95	31	38	22	15	14	18	31
FBgn0000566	FBgn0000566	Eip55E	20	17	9	10	8	15	7	12	12	7	9	14	11	11	19	45	38	46	224	55	12	18	10	15	12	38	29	12	26
FBgn0000567	FBgn0000567	Eip74EF	13	44	29	7	5	4	5	4	5	8	7	7	39	38	18	2	3	3	25	37	41	60	5	3	3	1	1	1	5
FBgn0000575	FBgn0000575	emc	207	219	118	49	62	54	50	53	55	81	98	94	10	43	89	46	49	43	11	43	60	141	29	39	57	36	32	4	21
FBgn0000576	FBgn0000576	ems	37	6	2	2	1	1	2	2	1	2	2	3	0	1	1	0	0	0	1	4	5	18	2	2	2	0	0	0	0
FBgn0000577	FBgn0000577	en	23	3	1	0	1	0	1	1	1	1	2	1	0	1	1	0	0	0	0	2	6	10	1	1	1	0	0	1	1
FBgn0000578	FBgn0000578	ena	36	82	90	14	13	5	14	9	7	16	17	13	1	11	12	4	8	6	2	18	33	43	6	7	6	32	35	3	7
FBgn0000579	FBgn0000579	Eno	147	103	54	276	174	278	183	132	201	315	231	311	11	34	48	185	108	145	89	102	85	113	628	270	239	326	182	175	147
FBgn0000581	FBgn0000581	E(Pc)	23	34	16	7	9	8	8	8	7	13	12	12	1	4	5	4	7	5	3	9	6	16	6	7	6	50	59	12	11
FBgn0000588	FBgn0000588	esc	7	7	10	3	1	2	3	3	1	5	4	4	0	0	1	1	2	2	0	1	1	3	5	3	3	42	32	3	1
FBgn0000591	FBgn0000591	E(spl)m8-HLH	17	29	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	16	0	0	0	0	0	0	0
FBgn0000592	FBgn0000592	Est-6	0	0	1	123	78	164	64	86	112	97	146	172	0	1	0	47	42	17	3	0	8	2	154	141	144	0	0	170	4297
FBgn0000594	FBgn0000594	Est-P	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	54	0	0	1	0	0	0	0
