gene_id,NEUTRAL,SELECTED,sum_expr
FBgn0086917,0.0161796067176205,0.012073042543811,35
FBgn0032449,0.0252184904933672,0.0194460916575018,173
FBgn0028704,0.0159809205363942,0.006056531759307,181
FBgn0034923,0.0232207859450173,0.011892474186251,384
FBgn0267487,0.0209645687170128,0.0099724480282721,682
FBgn0001978,0.0101244945012313,0.0068844722087008,1091
FBgn0032415,0.0327881919002581,0.0248230385793989,46
FBgn0039609,0.0129944774948219,0.0089818774588257,91
FBgn0031896,0.037074700709055,0.0180871737247335,967
FBgn0037993,0.0199076665115092,0.0089805239100284,43
FBgn0026415,0.0334333263663151,0.0170598214612774,9544
FBgn0040508,0.0079744384643239,0.0051239958365758,192
FBgn0030613,0.0058469516747448,0.0027291513472202,109
FBgn0035754,0.0263633669326892,0.0216300041949392,386
FBgn0016672,0.0307156455764327,0.0145919361561173,971
FBgn0031632,0.0241992890811799,0.0172353344218039,492
FBgn0039811,0.0408851064559939,inf,19
FBgn0030675,0.0365517667756062,0.0174367965032306,141
FBgn0032407,0.0409167275346869,0.0219784657091985,1578
FBgn0050056,0.0874411302982731,0.0498163265306122,481
FBgn0265262,0.0205489607452717,0.0091944437543684,1215
FBgn0024994,0.0425555323228461,0.0168326550505666,380
FBgn0267350,0.0052609801992202,0.0036390588730538,660
FBgn0039378,0.0210543991404782,0.0208291515665091,10
FBgn0038168,0.0098902847598716,0.0070543605910059,370
FBgn0003459,0.0116354099090454,0.0047519697055264,241
FBgn0261278,0.0178862578193073,0.0099299096792378,1133
FBgn0031737,0.0451670001959439,0.0229977087905923,1763
FBgn0037710,0.0252381802748969,0.0171853988571099,979
FBgn0037896,0.0170037743006001,0.0106440288963926,19
FBgn0034152,inf,0.0523492063492063,1873
FBgn0267413,0.0332091399989878,0.0352720119386786,0
FBgn0037227,0.0570886519247824,0.025692830702444,1008
FBgn0267398,0.0453002686047822,0.0179432528951728,1206
FBgn0085198,0.0477462694890579,0.0691239669421487,33
FBgn0061356,0.0331553039100713,0.0128950051126968,755
FBgn0042118,inf,0.0513146732185193,25
FBgn0266450,0.0166770180641243,0.0069426211369596,503
FBgn0038078,inf,0.0246381330309901,239
FBgn0052091,0.0152428537846708,0.0099926799953308,270
FBgn0053970,0.0148327649278683,0.0066396008724666,385
FBgn0030030,0.0264589179590701,0.0186786767518062,542
FBgn0085362,0.0413924928695436,0.0523118467637462,1030
FBgn0038063,0.0227035154490604,0.012703698297416,56
FBgn0045469,0.0241676919118344,0.0214499908109043,0
FBgn0036422,inf,0.0142516965237348,2884
FBgn0039508,0.0085955067616317,0.0062113990328186,321
FBgn0260799,0.0165985383068524,0.0090024530678512,1051
FBgn0086855,0.0137025871629566,0.009793504675535,466
FBgn0013813,0.0018233817113107,0.0011538969583798,70
FBgn0025742,0.0190543484238697,0.0097567462336618,915
FBgn0014464,0.0327884327611081,0.0231229044204819,529
FBgn0000352,0.0105895277585718,0.0043087809517012,398
FBgn0261575,0.0150568726628244,0.0076220448878856,573
FBgn0010238,0.0338025169444424,0.0187246124873605,3752
FBgn0030763,0.0642464772487535,0.0239157469514612,2349
FBgn0040837,,0.0290863177226813,191
FBgn0035216,0.0107822938749625,0.0100091760260267,24
FBgn0030425,0.0142424840381012,0.008989699978057,140
FBgn0010019,0.0191224900897235,0.0097131871617659,20056
FBgn0027521,0.0184865680732485,0.0086356388407159,477
FBgn0036815,0.0631957172495732,0.0238792296808242,613
FBgn0032843,0.012691716303731,0.0109043463947435,108
FBgn0037778,0.0174333148666631,0.0159873176341888,176
FBgn0261041,0.0075977588741533,0.0047845651698334,193
FBgn0031668,0.0637657283007627,0.0527065672422815,1072
FBgn0037503,0.0523374944960142,0.0290563802354262,649
FBgn0052762,0.1153703529595504,0.0336099086099086,1395
FBgn0038516,0.1136180728866168,0.0217919423216691,8
FBgn0027620,0.0060323087335636,0.0038755191907558,646
FBgn0031127,0.0971746155305921,0.02713611107384,176
FBgn0036046,0.0443417674835085,0.0444107744107744,152
FBgn0267390,0.0062480652668011,0.0027203515819092,678
FBgn0000529,0.0250085178272127,0.015528953426017,12
FBgn0266418,0.007241431327361,0.0035839200062987,232
FBgn0036781,0.0073948803994295,0.0058950791510614,58
FBgn0035439,0.015338564259154,0.007618870366376,672
FBgn0035499,0.1119429807145025,0.0556313069451177,5274
FBgn0035102,0.0271017541203007,0.0130331542265757,140
FBgn0030851,0.0231250987739733,0.016066573757047,458
FBgn0261994,0.0337343439640448,0.0294551779389441,10
FBgn0036213,0.0572663755930989,0.044571413569811,48064
FBgn0020388,0.0119367197033215,0.0079879082923851,663
FBgn0029959,0.0391226447242387,0.0289491587957497,533
FBgn0024222,0.0106751652539434,0.0082895129068222,277
FBgn0034496,0.0139743487041074,0.0068218842075376,453
FBgn0030266,0.0047886543515353,0.0020451599042952,257
FBgn0034618,0.0060253635632039,0.0036183295456668,821
FBgn0001187,0.0226057373239159,0.0099488031845637,688
FBgn0266053,0.0094554758484463,0.0061075658431361,668
FBgn0015575,0.0162513251251945,0.010066808678247,834
FBgn0022984,0.025335366754893,0.0171160886212252,771
FBgn0036165,0.0372710094906249,0.0182454524938576,823
FBgn0038617,0.0242515736844076,0.0092686027890074,326
FBgn0263237,0.0279555157500081,0.0149475561076099,426
FBgn0028658,0.0192592424459171,0.015507041894139,43
FBgn0033234,0.0274264459695778,0.0142609262725616,309
FBgn0039481,0.0333681033552278,0.0370943909294019,2281
FBgn0036018,0.0120676528148769,0.0059325232493278,354
FBgn0033072,0.0286406341894547,0.0134083895896702,15
FBgn0261792,0.0549618921642731,0.060000992063492,1289
FBgn0024330,0.0372362251989906,0.0227824994793975,441
FBgn0033240,0.0164979864893935,0.0142758868192648,166
FBgn0038397,0.006271993132118,0.0031482915676651,21
FBgn0038783,0.031426597123054,0.0198367006730643,216
FBgn0037812,0.085323810137512,0.025070453035821,49
FBgn0023415,0.0509304125321432,0.0243262631056079,1967
FBgn0263314,0.0989518891602224,0.2526479591836735,94
FBgn0035495,,0.0141079186060389,613
FBgn0001208,0.0226152010966821,0.0121985579840471,809
FBgn0266451,,0.0971095162147793,62
FBgn0052521,0.0365042308187365,0.0293205489179645,813
FBgn0037044,0.0226127962673827,0.0127507321669627,795
FBgn0031837,0.0279525756329881,0.0157068464412805,24
FBgn0035558,0.0248032205358168,0.0129945364414408,705
FBgn0008651,0.0203718390040748,0.0158861836664833,46
FBgn0035713,0.0068886637774656,0.0032273124143626,910
FBgn0031414,0.0067221712682164,0.0028413536414936,207
FBgn0037739,0.049997323095683,0.0140570045449436,677
FBgn0259170,0.0138086400107837,0.0079077640361436,290
FBgn0003114,0.0439752133803691,0.0229865683500111,259
FBgn0004106,0.0246486736612866,0.0186756784131619,1288
FBgn0039744,inf,inf,41
FBgn0050197,inf,0.040085137085137,2796
FBgn0038126,0.0228309612574708,0.0147042970105668,1170
FBgn0032162,0.0352903625392464,0.0186435714285714,393
FBgn0027780,0.0092291002027793,0.0051644119173485,154
FBgn0035059,0.0433347070109005,0.0234593519906841,84
FBgn0036899,0.018136866219395,0.0076519466791112,135
FBgn0032727,0.025949789953083,0.0154257705013848,869
FBgn0020764,0.0268336993423092,0.0116146058609563,1615
FBgn0033177,0.0153227184613807,0.0078405570698262,379
FBgn0263998,0.0063593198500437,0.0040099638348091,325
FBgn0052062,,,317
FBgn0032787,0.0237615250835271,0.0152373142630485,126
FBgn0263400,0.0437310600338635,0.0248877253973416,20
FBgn0032154,0.0135469980991838,0.0104413584742286,196
FBgn0029818,0.0169736691973208,0.0107373452838211,545
FBgn0051337,0.1465036848072562,0.064,273
FBgn0036504,0.0244178189993449,0.0131316118240878,34
FBgn0051956,0.0138968582900942,0.0099357560647026,206
FBgn0011217,0.0526705586080586,0.0298714416896235,5256
FBgn0000303,0.0147484743218892,0.0083902863504028,145
FBgn0036600,,inf,4174
FBgn0037165,0.0396631174090704,0.0175757021936567,209
FBgn0039261,0.0123479677235932,0.0082035980589649,756
FBgn0029117,0.0307714826058741,0.0164879806202058,412
FBgn0031364,0.1557006495107456,0.0509859669357939,71
FBgn0051424,0.0146800501893035,0.0127531111161527,0
FBgn0035217,0.0218457059063692,0.0126904570849787,314
FBgn0044049,inf,0.0327329931972789,634
FBgn0001091,0.0646729314425104,0.0179866703545555,21125
FBgn0037022,0.0171450535882461,0.0117116507135463,263
FBgn0086900,inf,0.0513146732185193,53
FBgn0038196,inf,0.2683166250998419,939
FBgn0050022,0.0259458870153253,0.0203615420830085,392
FBgn0001169,0.0125475105556541,0.0053926376419427,432
FBgn0052708,0.0340747411551196,0.0236152755626439,438
FBgn0031286,0.0223245283376942,0.0127366408423467,206
FBgn0028646,0.0148655709313057,0.007587011930994,814
FBgn0027492,0.0120171267163689,0.008246711693,734
FBgn0037881,0.0164990101150882,0.0113104021577349,680
FBgn0038342,0.0396739297616965,0.0358589887975392,149
FBgn0036075,0.0311120666692159,0.0372942903957514,207
FBgn0038147,0.101644410229575,0.0670372473157665,377
FBgn0032692,0.032886979436206,0.0103634532245031,11
FBgn0035160,0.0295255417324846,0.018590545966642,433
FBgn0025836,0.0066068915866519,0.0036685033004135,670
FBgn0027518,0.0132805517119489,0.0072650574348489,221
FBgn0034827,0.0139329885987954,0.0078272576869647,407
FBgn0002592,0.0682622158515856,0.0357141494449477,507
FBgn0265296,0.006004739595138,0.003300892519717,118
FBgn0032322,0.0925033455952016,0.0364088839412015,961
FBgn0004590,,0.0345678101359919,583
FBgn0035762,0.0112934092234394,0.0098743113752509,342
FBgn0039944,0.0350387715218225,0.0166626315070885,342
FBgn0035283,,0.0266340836227812,553
FBgn0038163,0.0120471222590295,0.0100694819510293,518
FBgn0032640,0.0348824374859277,0.0243175350357391,2363
FBgn0045497,0.0221417458475869,0.0149126511003261,0
FBgn0040371,0.0346646146631577,0.0218604947403024,571
FBgn0031562,0.0744799297924298,0.0234905303030303,1465
FBgn0085390,0.0111013986747148,0.0051022795541857,240
FBgn0035901,0.0119845586852862,0.0078374799549458,198
FBgn0001970,0.0175973575237078,0.00979119373476,67
FBgn0267698,0.0157136624540401,0.0065873070202612,528
FBgn0085464,0.046696623071325,0.0186698576013969,88
FBgn0033942,0.0630829534522716,inf,8742
FBgn0046874,0.0104533184607732,0.0052042170196255,1524
FBgn0028926,0.1050547086774462,0.077880040905251,811
FBgn0014340,0.0143614183599508,0.0066327844575854,332
FBgn0052354,0.0178541459309686,0.0096591928635194,1477
FBgn0040255,0.0171418726948678,0.009701250752442,84
FBgn0036426,0.0389962292916823,0.2271751935488199,66
FBgn0069056,0.0315640403611841,0.0170317788218894,29
FBgn0000449,0.0204915808443979,0.0149982550690424,101
FBgn0030207,0.0234834577915639,0.0128455201330377,73
FBgn0266709,0.0240464619368417,0.0148293139827312,248
FBgn0250827,0.0402290094440392,0.0410250506514242,344
FBgn0000307,0.0066511377351887,0.0032984562725613,504
FBgn0037379,0.0116550223095408,0.0055966326660228,264
FBgn0266083,0.0051313000398676,0.0027408325205727,206
FBgn0028703,0.0140697615292777,0.0066947721981923,414
FBgn0037759,0.0185699888199767,0.0085407682041094,798
FBgn0029833,0.0825287283144508,0.0421210904480135,1206
FBgn0037669,0.0372924331954531,0.0365208442351299,862
FBgn0031469,0.014935848324529,0.0103856402749271,27
FBgn0030053,0.0340197371534641,0.0115247687740475,838
FBgn0029867,0.0275584837739147,0.0216149197127583,1567
FBgn0250848,0.0190348603800378,0.0107510557349782,6490
FBgn0037126,0.1254174956637078,0.0315757137512471,272
FBgn0039651,0.030477637401991,0.0176306047813447,274
FBgn0034194,0.0160144893618592,0.0135358801454818,393
FBgn0263656,inf,inf,8
FBgn0031638,0.0198364303949864,0.0148205699421137,501
FBgn0025185,0.0150679950931438,0.0114767002275905,182
FBgn0051268,0.0198886447790114,0.0149641632572768,100
FBgn0259966,0.0501473922902494,0.218718253968254,83
FBgn0039829,0.084750000483564,0.013759387205818,215
FBgn0034897,0.0216057455932998,0.0127664382436041,1210
FBgn0265257,inf,0.0654444444444444,158
FBgn0037908,0.0442398099186708,0.0181246589073206,97
FBgn0034928,0.0341198889596787,0.0162358941232621,84
FBgn0260453,0.0199117457613751,0.0182069434218837,163
FBgn0025878,0.0199858469068128,0.0127129316461339,252
FBgn0036410,0.0133064747952932,0.0091457689955968,369
